Prioridad,Fase,Componente,Tipo,Stack Tecnológico,Responsabilidades,Métodos/Endpoints Principales,Dependencias,Esfuerzo (días),Notas Técnicas
1,Fundación,Infraestructura Base AWS,Infrastructure,"Terraform, AWS VPC, Security Groups, IAM","Crear red, seguridad y permisos base","N/A - Terraform modules",Azure AD configurado,3-5,"Usar terraform/environments/staging, validar antes de prod"
2,Fundación,Base de Datos - Catálogo,Database,"PostgreSQL 16 (RDS Graviton4), Flyway","Esquema de catálogos, AFOREs, usuarios, archivos metadata","N/A - DDL Scripts","Infraestructura AWS, VPC",2-3,"Usar Row-Level Security (RLS) por AFORE, índices en aforeId"
3,Fundación,Base de Datos - Validación,Database,"PostgreSQL 16 (RDS Graviton4), Flyway","Esquema de reglas de validación, resultados, históricos","N/A - DDL Scripts","Infraestructura AWS, VPC",2-3,"Optimizar para queries pesadas, particionamiento por fecha"
4,Fundación,DynamoDB - Event Store,Database,"DynamoDB, AWS SDK","Event sourcing inmutable, audit trail 7 años","PutItem, Query, Scan con GSI","Infraestructura AWS, KMS key",1-2,"TTL=2555 días, GSI por eventType y aforeId"
5,Fundación,ElastiCache - Redis,Cache,"Redis 7 (Graviton3), StackExchange.Redis","Cache distribuido, sesiones, rate limiting","GET, SET, EXPIRE, HGET, LPUSH","Infraestructura AWS, VPC",1,"Auth token habilitado, encriptación in-transit"
6,Fundación,Secrets & Configuration,Security,"AWS Secrets Manager, Azure AD","Gestión de secrets, configuración Azure AD","GetSecretValue (AWS SDK)","Azure AD Client Secret, DB passwords",1,"Rotación automática de secrets cada 90 días"
7,Core Backend,API Gateway Setup,API Gateway,"AWS API Gateway v2 HTTP, JWT Authorizer","Routing, autenticación JWT, rate limiting, WAF","N/A - AWS Configuration","Azure AD, VPC Link, ALB",2,"Throttling: 2000 req/s prod, validar OIDC endpoint Azure"
8,Core Backend,Shared Libraries,Library,".NET 8, C#","DTOs compartidos, extensions, helpers, validators","N/A - Shared code",Ninguna,3-5,"Azure.Identity, AWSSDK.*, Serilog, FluentValidation"
9,Core Backend,Authentication Service,Microservice,".NET 8 Web API, Azure.Identity","Validación de JWT tokens, extracción de claims, autorización","ValidateToken(), GetUserClaims(), CheckPermissions()","Azure AD, Secrets Manager, Shared Libraries",3-5,"Middleware personalizado, cache de public keys JWKS"
10,Core Backend,Catalog Service - API,Microservice,".NET 8 Web API, EF Core, Dapper","CRUD de catálogos, AFOREs, usuarios, archivos","GET/POST/PUT/DELETE /api/catalogs, /api/afores, /api/users, /api/files","DB Catálogo, Redis, Authentication",5-7,"ECS Fargate, Graviton4 ARM64, health check /health"
11,Core Backend,File Upload Service,Microservice,".NET 8 Web API, AWSSDK.S3","Upload de archivos CONSAR a S3, metadata a DB","POST /api/files/upload, GET /api/files/{id}/download","S3 raw bucket, DB Catálogo, SQS",3-5,"Multipart upload, validación de formato (TXT), max 500MB"
12,Core Backend,Validation Engine - Core,Microservice,".NET 8 Web API, MediatR","Orquestación de validaciones, dispatch a Lambda","POST /api/validations/execute, GET /api/validations/{id}/status","DB Validación, SQS, SNS, EventBridge",5-7,"Patrón CQRS, comandos asíncronos, idempotencia"
13,Core Backend,Lambda Validator - Estructura,Serverless,".NET 8 Lambda (ARM64), AWSSDK","Validación de estructura de archivos TXT CONSAR","LambdaHandler(S3Event)","S3, DB Validación, DynamoDB Event Store",2-3,"SnapStart habilitado, timeout 5 min, memoria 1GB"
14,Core Backend,Lambda Validator - Formato,Serverless,".NET 8 Lambda (ARM64), AWSSDK","Validación de formatos de campos (fechas, montos, etc)","LambdaHandler(SQSEvent)","SQS, DB Validación, DynamoDB",2-3,"Provisioned concurrency=1, ARM64 Graviton4"
15,Core Backend,Lambda Validator - Reglas Negocio,Serverless,".NET 8 Lambda (ARM64), AWSSDK","Validación de 37 reglas de negocio CONSAR","LambdaHandler(SQSEvent)","DB Validación (queries complejas), DynamoDB",5-7,"Optimizar queries, usar Dapper para performance, batch processing"
16,Core Backend,Lambda Validator - Integridad,Serverless,".NET 8 Lambda (ARM64), AWSSDK","Validación de integridad referencial entre archivos","LambdaHandler(SQSEvent)","DB Catálogo, DB Validación, Redis (cache)",3-5,"Cache de catálogos en Redis, TTL 1 hora"
17,Core Backend,Lambda Validator - Consistencia,Serverless,".NET 8 Lambda (ARM64), AWSSDK","Validación de consistencia temporal y secuencial","LambdaHandler(SQSEvent)","DB Validación (históricos), DynamoDB",3-5,"Queries por rangos de fecha, índices optimizados"
18,Core Backend,Results Aggregator Service,Microservice,".NET 8 Worker Service, MediatR","Agregación de resultados de validaciones Lambda","ProcessResults() - Background worker","SQS, DB Validación, DynamoDB, SNS",3-5,"ECS Fargate worker, long-running tasks, auto-scaling"
19,Core Backend,Report Generator Service,Microservice,".NET 8 Worker Service, QuestPDF/iTextSharp","Generación de reportes PDF/Excel de validaciones","GenerateReport(validationId), GET /api/reports/{id}","DB Validación, S3 reports bucket",5-7,"Async generation, SQS trigger, templates personalizables"
20,Core Backend,Notification Service,Microservice,".NET 8 Worker Service, AWS SES/SNS","Notificaciones email/SMS a AFOREs sobre validaciones","SendEmail(), SendSMS(), WebhookNotify()","SNS, SES, DB Catálogo (contactos)",3-5,"Templates de emails, retry logic, DLQ para fallos"
21,Core Backend,Event Processor Service,Microservice,".NET 8 Worker Service, MediatR","Procesamiento de eventos de DynamoDB Streams","ProcessEvent() - Stream consumer","DynamoDB Streams, Event Store",3-5,"Checkpointing, exactly-once processing, idempotencia"
22,Core Backend,Audit Service,Microservice,".NET 8 Web API, EF Core","Consulta de audit trail, compliance CONSAR","GET /api/audit/events, GET /api/audit/user-actions","DynamoDB Event Store, DB Catálogo",3-5,"Read-only API, queries por usuario/fecha/tipo, paginación"
23,Integración,API Gateway Integration,Integration,"API Gateway, ALB, ECS","Integración completa API Gateway → ALB → ECS","N/A - AWS Configuration","API Gateway, ALB, ECS Services",2-3,"VPC Link, security groups, health checks, pruebas JWT"
24,Integración,Message Queue Setup,Integration,"SQS, SNS, EventBridge, Lambda","Configurar colas, topics, event routing","N/A - AWS Configuration","Lambda functions, ECS services",2-3,"Dead letter queues, retries, CloudWatch alarms"
25,Monitoring,Logging Infrastructure,Monitoring,"Serilog, CloudWatch Logs, Logs Insights","Logging estructurado, correlación de requests","N/A - Configuration in all services",Todos los servicios backend,2-3,"JSON structured logs, correlation IDs, sensitive data masking"
26,Monitoring,Metrics & Dashboards,Monitoring,"CloudWatch Metrics, Dashboards, X-Ray","Métricas custom, dashboards, distributed tracing","N/A - CloudWatch configuration",Todos los servicios,2-3,"Custom metrics: validation_count, error_rate, latency_p99"
27,Monitoring,Alerting & Alarms,Monitoring,"CloudWatch Alarms, SNS, PagerDuty","Alarmas críticas, escalación, on-call","N/A - CloudWatch Alarms",CloudWatch Metrics, SNS topics,1-2,"Umbrales: CPU>80%, errors>10/5min, latency_p99>2s"
28,Frontend,Web Application - Core,Frontend,"React 18, TypeScript, Vite, TanStack Query","SPA para AFOREs, dashboard, upload de archivos","N/A - React components",API Services,10-15,"S3 + CloudFront hosting, Azure AD B2C authentication"
29,Frontend,Web App - Authentication,Frontend,"React, @azure/msal-react, msal-browser","Login con Azure AD, refresh tokens, logout","LoginButton, LogoutButton, AuthProvider","Azure AD B2C, API Gateway",3-5,"PKCE flow, token refresh automático, secure storage"
30,Frontend,Web App - File Upload,Frontend,"React, react-dropzone, axios","UI para subir archivos CONSAR TXT","FileUploadZone, UploadProgress, FileList","File Upload Service API",3-5,"Chunk upload, progress bar, validación client-side"
31,Frontend,Web App - Validation Dashboard,Frontend,"React, Recharts, TanStack Table","Dashboard de validaciones ejecutadas, resultados","ValidationDashboard, ValidationDetail, Charts","Validation Engine, Results API",5-7,"Real-time updates (WebSocket o polling), filtros, exportación"
32,Frontend,Web App - Reports Viewer,Frontend,"React, react-pdf, xlsx","Visualización de reportes PDF/Excel generados","ReportViewer, ReportDownload, ReportHistory","Report Generator Service API",3-5,"PDF viewer embebido, descarga directa desde S3"
33,Frontend,Web App - Audit Trail,Frontend,"React, TanStack Table","Visualización de audit log para compliance","AuditLogTable, AuditFilters, AuditExport","Audit Service API",3-5,"Filtros avanzados, paginación server-side, export CSV"
34,Frontend,Admin Panel,Frontend,"React, Ant Design/MUI, React Router","Panel de administración para operadores Hergon","UserManagement, AforeManagement, SystemConfig","Catalog Service, Admin APIs",7-10,"RBAC, gestión de usuarios, configuración de reglas"
35,Testing,Unit Tests - Backend,Testing,"xUnit, Moq, FluentAssertions, Testcontainers","Tests unitarios de servicios, validators, helpers","N/A - Test code",Todos los servicios backend,5-7,"Coverage >80%, AAA pattern, test doubles para AWS services"
36,Testing,Integration Tests - Backend,Testing,"xUnit, Testcontainers, WireMock, LocalStack","Tests de integración con DB, S3, SQS, DynamoDB","N/A - Test code",Servicios backend + infrastructure,7-10,"Testcontainers para PostgreSQL/Redis, LocalStack para AWS"
37,Testing,E2E Tests - Frontend,Testing,"Playwright, TypeScript","Tests end-to-end del flujo completo de usuario","N/A - Test code",Frontend + Backend APIs,5-7,"CI/CD integration, screenshots on failure, parallelización"
38,Testing,Load Testing,Testing,"k6, Grafana, Artillery","Tests de carga, stress testing, capacity planning","N/A - Test scripts",Infraestructura completa,3-5,"Simular 10 AFOREs, 1000 validaciones/día, métricas SLA"
39,DevOps,CI/CD Pipeline - Backend,DevOps,"GitHub Actions, Docker, ECR, ECS","Build, test, push images, deploy to ECS","N/A - GitHub Actions workflows",Backend services, ECR,3-5,"Multi-stage builds ARM64, semantic versioning, blue-green deploy"
40,DevOps,CI/CD Pipeline - Frontend,DevOps,"GitHub Actions, S3, CloudFront","Build React, deploy to S3, invalidate CloudFront","N/A - GitHub Actions workflows",Frontend app, S3/CloudFront,2-3,"Build optimizado, cache busting, preview deployments"
41,DevOps,CI/CD Pipeline - Lambda,DevOps,"GitHub Actions, Lambda, Docker","Build Lambda functions ARM64, deploy con versioning","N/A - GitHub Actions workflows",Lambda validators,2-3,"Lambda layers para dependencias, alias para versiones"
42,DevOps,Database Migrations,DevOps,"Flyway, PostgreSQL, GitHub Actions","Migrations versionadas, rollback, CI/CD integration","N/A - SQL migration scripts",RDS PostgreSQL DBs,2-3,"Migrations por ambiente, validación en staging primero"
43,DevOps,Disaster Recovery Plan,DevOps,"AWS Backup, RDS Snapshots, S3 Replication","Backups automáticos, restore procedures, DR drills","N/A - AWS Backup plans",RDS, DynamoDB, S3,2-3,"RPO=1h, RTO=4h, snapshots cross-region para DR"
44,DevOps,Secrets Rotation,DevOps,"AWS Secrets Manager, Lambda, EventBridge","Rotación automática de passwords, client secrets","N/A - Lambda rotation functions",Secrets Manager, RDS, Azure AD,2-3,"Rotación cada 90 días, zero-downtime rotation"
45,Security,Security Audit,Security,"AWS IAM Access Analyzer, AWS Config, Prowler","Auditoría de seguridad, compliance checks","N/A - Security tools",Infraestructura completa,3-5,"Checks: encryption, public access, IAM policies, compliance"
46,Security,Penetration Testing,Security,"OWASP ZAP, Burp Suite, manual testing","Pentesting de API, WAF rules validation","N/A - Security assessment",API Gateway, Backend APIs,5-7,"OWASP Top 10, SQL injection, XSS, CSRF, auth bypass"
47,Security,Compliance Documentation,Security,"Markdown, Confluence, compliance frameworks","Documentación SOC 2, ISO 27001, CONSAR","N/A - Documentation",Sistema completo,5-7,"Políticas, procedimientos, evidencia de controles"
48,Docs,API Documentation,Documentation,"Swagger/OpenAPI, Redoc, Postman","Documentación de APIs REST, ejemplos, schemas","N/A - OpenAPI spec",Backend APIs,3-5,"OpenAPI 3.0, ejemplos de requests/responses, autenticación"
49,Docs,User Manuals,Documentation,"Markdown, Docusaurus, videos","Manuales de usuario para AFOREs y admins","N/A - Documentation",Frontend app,5-7,"Screenshots, videos tutoriales, troubleshooting guides"
50,Docs,Operations Runbooks,Documentation,"Markdown, incident response templates","Runbooks para incidentes, deployment, rollback","N/A - Documentation",Infraestructura + servicios,3-5,"Incident response, escalation, playbooks por tipo de issue"
51,Training,Team Training,Training,"Workshops, documentation review, hands-on","Capacitación del equipo técnico en arquitectura y ops","N/A - Training sessions",Documentación completa,3-5,"AWS services, Azure AD, troubleshooting, monitoring"
52,Training,User Training,Training,"Workshops, videos, user manuals","Capacitación de usuarios AFORE en el sistema","N/A - Training sessions",Frontend app completo,2-3,"Upload de archivos, interpretación de reportes, soporte"
53,Production,Production Deployment,Deployment,"Terraform, AWS, blue-green deployment","Despliegue a producción con estrategia blue-green","N/A - Deployment process",Sistema completo validado en staging,3-5,"Validar staging, backups, rollback plan, monitoring 24/7"
54,Production,Hypercare Period,Operations,"CloudWatch, PagerDuty, team on-call","Monitoreo intensivo post-go-live, respuesta rápida","N/A - Operations",Sistema en producción,14-30,"Equipo on-call 24/7, análisis diario de métricas, ajustes"
55,Post-Launch,Performance Optimization,Optimization,"CloudWatch, X-Ray, profiling tools","Optimización basada en métricas reales de producción","N/A - Performance tuning",Métricas de producción,Continuo,"Query optimization, cache tuning, right-sizing resources"
56,Post-Launch,Cost Optimization,FinOps,"AWS Cost Explorer, Savings Plans, Reserved Instances","Análisis de costos, implementación de Savings Plans","N/A - Cost analysis",Billing data 30+ días,Continuo,"Identificar recursos idle, rightsizing, commitment discounts"